Mon Oct 25 20:03:18 2021: Hive (C:\Users\mcdan\OneDrive - Universidad Autonoma de Nuevo León\2020-2021\Desktop\NTUSER.DAT) is not dirty.

Mon Oct 25 20:03:18 2021: Log opened.
Mon Oct 25 20:03:18 2021: File: C:\Users\mcdan\OneDrive - Universidad Autonoma de Nuevo León\2020-2021\Desktop\NTUSER.DAT
Mon Oct 25 20:03:18 2021: Environment set up.
Mon Oct 25 20:03:18 2021: Launching adobe v.20200522
Mon Oct 25 20:03:18 2021: Launching allowedenum v.20200511
Mon Oct 25 20:03:18 2021: Launching appassoc v.20200515
Mon Oct 25 20:03:18 2021: Launching appcompatflags v.20200525
Mon Oct 25 20:03:18 2021: Launching appkeys v.20200517
Mon Oct 25 20:03:19 2021: Launching applets v.20200525
Mon Oct 25 20:03:19 2021: Launching apppaths v.20200511
Mon Oct 25 20:03:19 2021: Launching appspecific v.20200515
Mon Oct 25 20:03:19 2021: Launching appx v.20200427
Mon Oct 25 20:03:19 2021: Launching arpcache v.20200515
Mon Oct 25 20:03:19 2021: Launching attachmgr v.20200525
Mon Oct 25 20:03:19 2021: Launching cached v.20200525
Mon Oct 25 20:03:19 2021: Launching cmdproc v.20200515
Mon Oct 25 20:03:19 2021: Launching comdlg32 v.20200517
Mon Oct 25 20:03:19 2021: Launching compdesc v.20200511
Mon Oct 25 20:03:19 2021: Launching DDO v.20140414
Mon Oct 25 20:03:19 2021: Launching disablemru v.20190924
Mon Oct 25 20:03:19 2021: Launching environment v.20200512
Mon Oct 25 20:03:19 2021: Launching featureusage v.20200511
Mon Oct 25 20:03:19 2021: [*] Launching heidisql v.20201227
Mon Oct 25 20:03:19 2021: [*] Launching iconlayouts v.20211001
Mon Oct 25 20:03:19 2021: Launching identities v.20200525
Mon Oct 25 20:03:19 2021: Launching injectdll64 v.20200427
Mon Oct 25 20:03:19 2021: Launching jumplistdata v.20200517
Mon Oct 25 20:03:19 2021: Launching knowndev v.20200515
Mon Oct 25 20:03:19 2021: Launching listsoft v.20200517
Mon Oct 25 20:03:19 2021: Launching load v.20200517
Mon Oct 25 20:03:19 2021: Launching logonstats v.20200517
Mon Oct 25 20:03:19 2021: Launching lxss v.20200511
Mon Oct 25 20:03:19 2021: Launching mixer v.20200517
Mon Oct 25 20:03:19 2021: Launching mmc v.20200517
Mon Oct 25 20:03:19 2021: Launching mmo v.20200517
Mon Oct 25 20:03:19 2021: Launching mndmru v.20200517
Mon Oct 25 20:03:19 2021: Launching mp2 v.20200526
Mon Oct 25 20:03:19 2021: Launching mpmru v.20200517
Mon Oct 25 20:03:19 2021: Launching  msoffice v.20200518
Mon Oct 25 20:03:19 2021: Launching muicache v.20200525
Mon Oct 25 20:03:19 2021: Launching nation v.20200517
Mon Oct 25 20:03:19 2021: Launching oisc v.20091125
Mon Oct 25 20:03:19 2021: Launching onedrivev.20200515
Mon Oct 25 20:03:19 2021: Launching osversion v.20200511
Mon Oct 25 20:03:19 2021: Launching outlook_homepage v.20201002
Mon Oct 25 20:03:19 2021: Launching pendinggpos v.20200427
Mon Oct 25 20:03:19 2021: Launching profiler v.20200525
Mon Oct 25 20:03:19 2021: Launching pslogging v.20200515
Mon Oct 25 20:03:19 2021: Launching psscript v.20200525
Mon Oct 25 20:03:19 2021: Launching putty v.20200515
Mon Oct 25 20:03:19 2021: Launching recentapps v.20200515
Mon Oct 25 20:03:19 2021: Launching recentdocs v.20200427
Mon Oct 25 20:03:19 2021: Launching run v.20200511
Mon Oct 25 20:03:19 2021: Launching runmru v.20200525
Mon Oct 25 20:03:19 2021: Launching runvirtual v.20200427
Mon Oct 25 20:03:19 2021: Launching searchscopes v.20200517
Mon Oct 25 20:03:19 2021: Launching 7-zip v.20210329
Mon Oct 25 20:03:19 2021: Launching shc v.20200427
Mon Oct 25 20:03:19 2021: Launching shellfolders v.20200515
Mon Oct 25 20:03:19 2021: Launching speech v.20200427
Mon Oct 25 20:03:20 2021: Launching sysinternals v.20080324
Mon Oct 25 20:03:20 2021: Launching tsclient v.20200518
Mon Oct 25 20:03:20 2021: Launching typedpaths v.20200526
Mon Oct 25 20:03:20 2021: Launching typedurls v.20200526
Mon Oct 25 20:03:20 2021: Launching typedurlstime v.20200526
Mon Oct 25 20:03:20 2021: Launching uninstall v.20200525
Mon Oct 25 20:03:20 2021: Launching userassist v.20170204
Mon Oct 25 20:03:20 2021: Launching wc_shares v.20200515
Mon Oct 25 20:03:20 2021: Launching winrar v.20200526
Mon Oct 25 20:03:20 2021: Launching winscp v.20201227
Mon Oct 25 20:03:20 2021: Launching WinZip v.20200526
Mon Oct 25 20:03:20 2021: Launching wordwheelquery v.20200823
